#Мой рабочий для отладки
#Код_слоя	КК	ХЛ	Нужно	Можно	Графика	Тип	Номер	Цвет	Ранг	Приоритет	Наименование объекта
$
1	11100000	1	,	9,37,	0	0	0	0	0	0	Астрономические пункты
1	11200000	1	4,	9,16,	0	0	0	0	0	0	Пункты ГГС
1	12000000	1	4,	16,20,35,	0	0	0	0	0	0	Отметки высот
1	12100000	1	19,	,	0	0	0	0	0	0	Точка с известными геодезическими координатами
1	13110000	U	19,	,	0	0	0	0	0	0	Линии меридианов (штрихи)
1	13120000	U	19,	,	0	0	0	0	0	0	Линии параллелей (штрихи)
1	13130000	1	19,	,	0	0	0	0	0	0	Пересечение средних параллели меридиана
1	13210000	2	17,64,	,	0	0	0	0	0	0	Линии ординат (вертикальные линии)
1	13220000	2	17,	,	0	0	0	0	0	0	Линии абсцисс (горизонтальные линии)
1	13240000	U	17,	,	0	0	0	0	0	0	Линии абсцисс смежной зоны (горизонтальные штрихи)
1	13250000	1	17,	,	0	0	0	0	0	0	Пересечение линий прямоугольной сетки
1	14000000	2	17,19,	,	0	0	0	0	0	0	Рамка листа карты
2	21100000	2	4,	20,	0	0	0	0	0	0	Горизонтали основные утолщенные
2	21200000	2	4,	20,	0	0	0	0	0	0	Горизонтали основные
2	21300000	2	4,	20,	0	0	0	0	0	0	Горизонтали дополнительные
2	21400000	2	,	,	0	0	0	0	0	0	Горизонтали вспомогательные
2	21500000	3	88,	,	0	0	0	0	0	0	Крутые склоны
2	22110000	3	,	9,	0	0	0	0	0	0	Ледники (ледниковые языки)
2	22111000	2	,	,	0	0	0	0	0	0	Границы ледников (ледниковых языков) на суше
2	22120000	3	,	9,	0	0	0	0	0	0	Фиpновые поля (снежники)
2	22121000	2	,	,	0	0	0	0	0	0	Границы фиpновых полей (снежников)
2	22130000	2	,	,	0	0	0	0	0	0	Ледниковые трещины
2	22140000	3	,	9,	0	0	0	0	0	0	Ископаемые льды
2	22150000	2	,	1,9,	0	0	0	0	0	0	Ледяные обpывы (баpьеpы)
2	22150000	3	,	1,9,	0	0	0	0	0	0	Ледяные обpывы (баpьеpы)
2	22151000	2	,	,	0	0	0	0	0	0	Бровка ледяных обрывов и барьеров
2	22160000	2	,	9,	0	0	0	0	0	0	Морены
2	22160000	3	,	9,	0	0	0	0	0	0	Морены
2	22211000	2	15,	7,9,23,102,	0	0	0	0	0	0	Овраги
2	22211000	3	15,	7,9,23,102,	0	0	0	0	0	0	Овраги
2	22211100	2	,	,	0	0	0	0	0	0	Бровка оврага
2	22212000	2	15,	7,9,23,102,	0	0	0	0	0	0	Промоины
2	22212000	3	15,	7,9,23,102,	0	0	0	0	0	0	Промоины
2	22212100	2	,	,	0	0	0	0	0	0	Бровка промоины
2	22221000	2	15,	9,34,	0	0	0	0	0	0	Сухие русла
2	22221000	3	15,	9,34,	0	0	0	0	0	0	Сухие русла
2	22222000	3	,	9,34,	0	0	0	0	0	0	Котловины высохших озер
2	22222100	2	,	,	0	0	0	0	0	0	Граница сухих русел, котловин высохших озер
2	22230000	2	,	1,9,73,	0	0	0	0	0	0	Валы береговые, исторические и другие
2	22242000	3	,	9,	0	0	0	0	0	0	Районы распространения карста
2	22250000	1	,	1,9,73,	0	0	0	0	0	0	Ямы
2	22250000	3	,	1,9,73,	0	0	0	0	0	0	Ямы
2	22260000	3	,	9,	0	0	0	0	0	0	Оползни
2	22261000	2	,	,	0	0	0	0	0	0	Граница оползня
2	22310000	1	,	1,9,	0	0	0	0	0	0	Скалы-останцы
2	22320000	2	,	1,	0	0	0	0	0	0	Дайки
2	22410000	3	,	9,	0	0	0	0	0	0	Скалы и скалистые обрывы
2	22412100	2	,	,	0	0	0	0	0	0	Бровка обрывов скалистых
2	22421000	1	,	9,	0	0	0	0	0	0	Кратеры грязевых вулканов
2	22421000	3	,	4,9,	0	0	0	0	0	0	Кратеры грязевых вулканов
2	22422000	1	,	9,	0	0	0	0	0	0	Кратеры обычных вулканов
2	22422000	3	,	4,9,	0	0	0	0	0	0	Кратеры обычных вулканов
2	22431000	3	,	,	0	0	0	0	0	0	Лавовые потоки
2	22431100	2	,	,	0	0	0	0	0	0	Бровка лавового потока
2	22432000	3	,	,	0	0	0	0	0	0	Лавовые покровы
2	22510000	3	,	9,20,	0	0	0	0	0	0	Наледи
2	22520000	1	,	1,9,	0	0	0	0	0	0	Курганы и бугры
2	22520000	3	,	1,9,	0	0	0	0	0	0	Курганы и бугры
2	22612000	1	,	1,9,	0	0	0	0	0	0	Отдельно лежащие камни
2	22620000	3	8,	,	0	0	0	0	0	0	Осыпи
2	22621000	2	,	,	0	0	0	0	0	0	Бровка осыпи
2	22630000	2	,	1,9,73,102,	0	0	0	0	0	0	Обрывы земляные
2	22640000	1	,	9,	0	0	0	0	0	0	Входы в пещеры и гроты
2	23100000	U	,	,	0	0	0	0	0	0	Указатели направления скатов (бергштрихи)
3	31110000	3	4,9,36,	,	0	0	0	0	0	0	Океаны и моря
3	31120000	3	36,	4,9,33,	0	0	0	0	0	0	Озера
3	31131000	1	,	4,9,	0	0	0	0	0	0	Водохранилища
3	31131000	3	3,36,	4,9,77,78,80,81	0	0	0	0	0	0	Водохранилища
3	31132000	1	,	4,9,	0	0	0	0	0	0	Пруды
3	31132000	3	36,	4,9,	0	0	0	0	0	0	Пруды
3	31140000	3	,	9,31,	0	0	0	0	0	0	Площади разливов или зоны затопления
3	31211000	3	,	9,	0	0	0	0	0	0	Отмели
3	31211100	2	,	,	0	0	0	0	0	0	Участок прибрежной границы отмели
3	31212000	3	,	9,	0	0	0	0	0	0	Мели
3	31220000	3	,	9,	0	0	0	0	0	0	Берега опасные
3	31230000	3	,	,	0	0	0	0	0	0	Берега осыхающие (прил.-отливн. полосы)
3	31231000	2	,	,	0	0	0	0	0	0	Участок береговой линии берегов осыхающих и опасных
3	31241100	2	,	1,	0	0	0	0	0	0	Берега обрывистые с пляжем не выражающимся в масштабе карты
3	31241200	3	,	1,	0	0	0	0	0	0	Берега скалистые с пляжем не выражающимся в масштабе карты
3	31242000	2	,	1,	0	0	0	0	0	0	Берега обрывистые и скалистые без пляжа
3	31243000	2	,	,	0	0	0	0	0	0	Верхняя кромка берегов скалистых
3	31310000	2	7,	,	0	0	0	0	0	0	Изобаты
3	31320000	1	7,	,	0	0	0	0	0	0	Отметки глубин
3	31331000	2	35,	9,	0	0	0	0	0	0	Рифы
3	31331000	3	35,	9,	0	0	0	0	0	0	Рифы
3	31332000	1	,	1,9,	0	0	0	0	0	0	Скалы надводные
3	31333000	1	35,	1,9,	0	0	0	0	0	0	Камни
3	31334000	1	,	7,9,	0	0	0	0	0	0	Банки малого размера
3	31335100	U	,	1,9,	0	0	0	0	0	0	Водопады
3	31335100	2	,	1,9,	0	0	0	0	0	0	Водопады
