    П Р О Т О К О Л    К О Н В Е Р Т И Р О В А Н И Я   SXF->F20S

Исходная ЦКМ (SXF) - E:/GISWN_S_2017/MAPS/100/N-35-024.SXF (14202 объектов)

Выходная ЦКМ (F20S)  - E:/GISWN_S_2017/MAPS/100/N3502400.p06

 _______________________________________________________________________________________________________
Идентификатор объекта SXF (Кл.код*хар.локализ.) -> Идентификатор объекта F20S --- Текст ошибки/замечания
 _______________________________________________________________________________________________________

Объект SXF 10568 (92170000*5) -> Объект F20S 831 --- метрика исходного объекта выходит за пределы листа
Объект SXF 3421 (92172000*3) -> Объект F20S 13530 --- метрика исходного объекта выходит за пределы листа
Объект SXF 3081 (92173000*3) -> Объект F20S 14288 --- подпись не имеет ссылки на объект
Объект SXF 5653 (92170000*3) -> Объект F20S 14289 --- подпись не имеет ссылки на объект
Объект SXF 5683 (92170000*3) -> Объект F20S 14290 --- подпись не имеет ссылки на объект
Объект SXF 6357 (91130000*3) -> Объект F20S 14291 --- подпись не имеет ссылки на объект
Объект SXF 6364 (91130000*3) -> Объект F20S 14292 --- подпись не имеет ссылки на объект
Объект SXF 6534 (91130000*3) -> Объект F20S 14293 --- подпись не имеет ссылки на объект
Объект SXF 6727 (91130000*3) -> Объект F20S 14294 --- подпись не имеет ссылки на объект
Объект SXF 6727 (91130000*3) -> Объект F20S 14294 --- метрика исходного объекта выходит за пределы листа
Объект SXF 6829 (91130000*3) -> Объект F20S 14295 --- подпись не имеет ссылки на объект
Объект SXF 9003 (92020000*3) -> Объект F20S 14296 --- подпись не имеет ссылки на объект
Объект SXF 9004 (92020000*3) -> Объект F20S 14297 --- подпись не имеет ссылки на объект
Объект SXF 9005 (92020000*3) -> Объект F20S 14298 --- подпись не имеет ссылки на объект
Объект SXF 9006 (92020000*3) -> Объект F20S 14299 --- подпись не имеет ссылки на объект
Объект SXF 9007 (92020000*3) -> Объект F20S 14300 --- подпись не имеет ссылки на объект
Объект SXF 9008 (92020000*3) -> Объект F20S 14301 --- подпись не имеет ссылки на объект
Объект SXF 9009 (92020000*3) -> Объект F20S 14302 --- подпись не имеет ссылки на объект
Объект SXF 9010 (92020000*3) -> Объект F20S 14303 --- подпись не имеет ссылки на объект
Объект SXF 9011 (92020000*3) -> Объект F20S 14304 --- подпись не имеет ссылки на объект
Объект SXF 9012 (92020000*3) -> Объект F20S 14305 --- подпись не имеет ссылки на объект
Объект SXF 9013 (92020000*3) -> Объект F20S 14306 --- подпись не имеет ссылки на объект
Объект SXF 9014 (92020000*3) -> Объект F20S 14307 --- подпись не имеет ссылки на объект
Объект SXF 9015 (92020000*3) -> Объект F20S 14308 --- подпись не имеет ссылки на объект
Объект SXF 9016 (92020000*3) -> Объект F20S 14309 --- подпись не имеет ссылки на объект
Объект SXF 9017 (92020000*3) -> Объект F20S 14310 --- подпись не имеет ссылки на объект
Объект SXF 9018 (92020000*3) -> Объект F20S 14311 --- подпись не имеет ссылки на объект
Объект SXF 9019 (92020000*3) -> Объект F20S 14312 --- подпись не имеет ссылки на объект
Объект SXF 9026 (92020000*3) -> Объект F20S 14313 --- подпись не имеет ссылки на объект
Объект SXF 9027 (92020000*3) -> Объект F20S 14314 --- подпись не имеет ссылки на объект
Объект SXF 9028 (92020000*3) -> Объект F20S 14315 --- подпись не имеет ссылки на объект
Объект SXF 9029 (92020000*3) -> Объект F20S 14316 --- подпись не имеет ссылки на объект
Объект SXF 9030 (92020000*3) -> Объект F20S 14317 --- подпись не имеет ссылки на объект
Объект SXF 9031 (92020000*3) -> Объект F20S 14318 --- подпись не имеет ссылки на объект
Объект SXF 9032 (92020000*3) -> Объект F20S 14319 --- подпись не имеет ссылки на объект
Объект SXF 9033 (92020000*3) -> Объект F20S 14320 --- подпись не имеет ссылки на объект
Объект SXF 9034 (92020000*3) -> Объект F20S 14321 --- подпись не имеет ссылки на объект
Объект SXF 9035 (92020000*3) -> Объект F20S 14322 --- подпись не имеет ссылки на объект
Объект SXF 9036 (92020000*3) -> Объект F20S 14323 --- подпись не имеет ссылки на объект
Объект SXF 9037 (92020000*3) -> Объект F20S 14324 --- подпись не имеет ссылки на объект
Объект SXF 9038 (92020000*3) -> Объект F20S 14325 --- подпись не имеет ссылки на объект
Объект SXF 9039 (92020000*3) -> Объект F20S 14326 --- подпись не имеет ссылки на объект
Объект SXF 9040 (92020000*3) -> Объект F20S 14327 --- подпись не имеет ссылки на объект
Объект SXF 9041 (92020000*3) -> Объект F20S 14328 --- подпись не имеет ссылки на объект
Объект SXF 9042 (92020000*3) -> Объект F20S 14329 --- подпись не имеет ссылки на объект
Объект SXF 9043 (92020000*3) -> Объект F20S 14330 --- подпись не имеет ссылки на объект
Объект SXF 9044 (92020000*3) -> Объект F20S 14331 --- подпись не имеет ссылки на объект
Объект SXF 9045 (92020000*3) -> Объект F20S 14332 --- подпись не имеет ссылки на объект
Объект SXF 9046 (92020000*3) -> Объект F20S 14333 --- подпись не имеет ссылки на объект
Объект SXF 9047 (92020000*3) -> Объект F20S 14334 --- подпись не имеет ссылки на объект
Объект SXF 9048 (92020000*3) -> Объект F20S 14335 --- подпись не имеет ссылки на объект
Объект SXF 9049 (92020000*3) -> Объект F20S 14336 --- подпись не имеет ссылки на объект
Объект SXF 9050 (92020000*3) -> Объект F20S 14337 --- подпись не имеет ссылки на объект
Объект SXF 9051 (92020000*3) -> Объект F20S 14338 --- подпись не имеет ссылки на объект
Объект SXF 9053 (92020000*3) -> Объект F20S 14339 --- подпись не имеет ссылки на объект
Объект SXF 9054 (92020000*3) -> Объект F20S 14340 --- подпись не имеет ссылки на объект
Объект SXF 9055 (92020000*3) -> Объект F20S 14341 --- подпись не имеет ссылки на объект
Объект SXF 9056 (92020000*3) -> Объект F20S 14342 --- подпись не имеет ссылки на объект
Объект SXF 9057 (92020000*3) -> Объект F20S 14343 --- подпись не имеет ссылки на объект
Объект SXF 9058 (92020000*3) -> Объект F20S 14344 --- подпись не имеет ссылки на объект
Объект SXF 9059 (92020000*3) -> Объект F20S 14345 --- подпись не имеет ссылки на объект
Объект SXF 9063 (92020000*3) -> Объект F20S 14346 --- подпись не имеет ссылки на объект
Объект SXF 9064 (92020000*3) -> Объект F20S 14347 --- подпись не имеет ссылки на объект
Объект SXF 9065 (92020000*3) -> Объект F20S 14348 --- подпись не имеет ссылки на объект
Объект SXF 9066 (92020000*3) -> Объект F20S 14349 --- подпись не имеет ссылки на объект
Объект SXF 9067 (92020000*3) -> Объект F20S 14350 --- подпись не имеет ссылки на объект
Объект SXF 9068 (92020000*3) -> Объект F20S 14351 --- подпись не имеет ссылки на объект
Объект SXF 9069 (92020000*3) -> Объект F20S 14352 --- подпись не имеет ссылки на объект
Объект SXF 9070 (92020000*3) -> Объект F20S 14353 --- подпись не имеет ссылки на объект
Объект SXF 9071 (92020000*3) -> Объект F20S 14354 --- подпись не имеет ссылки на объект
Объект SXF 9072 (92020000*3) -> Объект F20S 14355 --- подпись не имеет ссылки на объект
Объект SXF 10454 (91020000*3) -> Объект F20S 14356 --- подпись не имеет ссылки на объект
Объект SXF 10461 (91020000*3) -> Объект F20S 14357 --- подпись не имеет ссылки на объект
Объект SXF 10468 (92020000*3) -> Объект F20S 14358 --- подпись не имеет ссылки на объект
Объект SXF 10492 (91020000*3) -> Объект F20S 14359 --- подпись не имеет ссылки на объект
Объект SXF 10507 (91020000*3) -> Объект F20S 14360 --- подпись не имеет ссылки на объект
Объект SXF 10508 (91020000*3) -> Объект F20S 14361 --- подпись не имеет ссылки на объект
Объект SXF 10509 (91020000*3) -> Объект F20S 14362 --- подпись не имеет ссылки на объект
Объект SXF 10510 (91020000*3) -> Объект F20S 14363 --- подпись не имеет ссылки на объект
Объект SXF 10515 (91020000*3) -> Объект F20S 14364 --- подпись не имеет ссылки на объект
Объект SXF 10516 (91020000*3) -> Объект F20S 14365 --- подпись не имеет ссылки на объект
Объект SXF 10565 (91020000*3) -> Объект F20S 14366 --- подпись не имеет ссылки на объект
Объект SXF 10566 (91020000*3) -> Объект F20S 14367 --- подпись не имеет ссылки на объект
Объект SXF 10567 (91020000*3) -> Объект F20S 14368 --- подпись не имеет ссылки на объект
Объект SXF 14517 (92020000*3) -> Объект F20S 14369 --- подпись не имеет ссылки на объект

Файл справки F20s содержит 14369 объектов

    Дата/время формирования:   27.12.2016 10:38:00
